,time,open,high,low,close,volume
0,1672524000000,247.0,247.0,246.9,246.9,204.809
1,1672524300000,246.9,247.2,246.9,247.2,307.227
2,1672524600000,247.2,247.3,247.1,247.3,151.668
3,1672524900000,247.3,247.3,246.7,246.8,793.01
4,1672525200000,246.8,246.9,246.7,246.8,184.458
5,1672525500000,246.9,247.1,246.8,247.0,398.318
6,1672525800000,246.9,247.1,246.9,247.1,250.442
7,1672526100000,247.0,247.1,246.6,246.8,458.133
8,1672526400000,246.8,246.8,246.5,246.8,911.603
9,1672526700000,246.8,246.8,246.6,246.7,305.561
10,1672527000000,246.7,246.8,245.9,246.5,1514.299
11,1672527300000,246.4,246.4,246.2,246.3,146.755
12,1672527600000,246.3,246.5,246.1,246.2,592.013
13,1672527900000,246.2,246.4,246.1,246.1,347.887
14,1672528200000,246.2,246.4,246.0,246.4,239.375
15,1672528500000,246.3,246.8,246.3,246.7,401.848
16,1672528800000,246.7,246.7,246.6,246.7,90.933
17,1672529100000,246.6,246.7,246.5,246.5,290.977
18,1672529400000,246.5,246.6,246.4,246.6,137.712
19,1672529700000,246.5,246.8,246.5,246.8,78.622
20,1672530000000,246.8,246.9,246.7,246.8,636.581
21,1672530300000,246.7,246.9,246.5,246.5,243.475
22,1672530600000,246.6,246.6,246.1,246.2,889.586
23,1672530900000,246.2,246.3,246.0,246.3,391.373
24,1672531200000,246.3,246.4,245.9,246.2,440.108
25,1672531500000,246.2,246.2,246.0,246.1,96.972
26,1672531800000,246.1,246.1,246.0,246.0,242.254
27,1672532100000,246.0,246.2,245.8,246.2,369.308
28,1672532400000,246.2,246.5,246.1,246.4,149.299
29,1672532700000,246.3,246.7,246.3,246.7,128.811
30,1672533000000,246.7,246.7,246.3,246.4,238.93
31,1672533300000,246.4,246.5,246.1,246.2,757.007
32,1672533600000,246.3,246.3,245.8,245.8,172.16
33,1672533900000,245.8,246.0,245.5,245.9,1125.032
34,1672534200000,246.0,246.0,245.8,246.0,174.087
35,1672534500000,246.0,246.1,245.7,245.7,339.999
36,1672534800000,245.8,245.9,245.6,245.6,252.472
37,1672535100000,245.6,245.9,245.6,245.8,124.026
38,1672535400000,245.9,246.0,245.9,245.9,81.365
39,1672535700000,245.9,246.0,245.8,245.9,148.666
40,1672536000000,245.9,245.9,245.6,245.9,322.465
41,1672536300000,245.8,245.9,245.8,245.8,146.856
42,1672536600000,245.9,245.9,245.6,245.6,176.222
43,1672536900000,245.7,245.8,245.5,245.6,352.283
44,1672537200000,245.6,245.7,245.5,245.7,120.799
45,1672537500000,245.6,245.9,245.6,245.9,183.288
46,1672537800000,245.8,245.9,245.6,245.6,226.024
47,1672538100000,245.7,246.0,245.6,245.8,289.621
48,1672538400000,245.8,245.9,245.6,245.6,152.383
49,1672538700000,245.6,245.7,245.6,245.6,224.743
50,1672539000000,245.7,245.8,245.4,245.7,809.122
51,1672539300000,245.7,245.8,245.6,245.7,142.43
52,1672539600000,245.7,245.7,245.5,245.6,352.276
53,1672539900000,245.6,245.7,245.5,245.6,327.267
54,1672540200000,245.7,245.9,245.5,245.9,389.574
55,1672540500000,245.9,245.9,245.7,245.8,155.846
56,1672540800000,245.7,245.8,245.4,245.4,299.113
57,1672541100000,245.5,245.5,245.3,245.3,477.431
58,1672541400000,245.3,245.4,245.3,245.4,159.957
59,1672541700000,245.4,245.4,245.2,245.3,481.137
60,1672542000000,245.3,245.4,245.1,245.3,296.448
61,1672542300000,245.2,245.4,245.2,245.4,316.425
62,1672542600000,245.4,245.6,245.3,245.5,564.273
63,1672542900000,245.5,245.5,245.1,245.2,404.812
64,1672543200000,245.3,245.4,245.2,245.3,161.25
65,1672543500000,245.3,245.4,245.2,245.3,382.157
66,1672543800000,245.3,245.3,245.1,245.2,309.508
67,1672544100000,245.3,245.4,245.2,245.3,251.936
68,1672544400000,245.2,245.3,245.2,245.2,110.998
69,1672544700000,245.3,245.4,245.2,245.4,244.921
70,1672545000000,245.3,245.4,245.2,245.4,458.546
71,1672545300000,245.4,245.4,245.2,245.3,719.902
72,1672545600000,245.3,245.3,245.1,245.1,421.231
73,1672545900000,245.1,245.2,244.8,244.9,1105.721
74,1672546200000,245.0,245.0,244.7,244.8,299.191
75,1672546500000,244.8,245.0,244.7,244.8,359.85
76,1672546800000,244.9,244.9,244.7,244.7,406.888
77,1672547100000,244.8,244.9,244.7,244.7,383.755
78,1672547400000,244.7,244.7,244.2,244.5,1729.645
79,1672547700000,244.5,244.5,244.4,244.5,331.82
80,1672548000000,244.4,244.4,244.0,244.1,1570.174
81,1672548300000,244.1,244.2,243.8,243.9,1202.356
82,1672548600000,243.9,244.3,243.9,244.0,1023.624
83,1672548900000,244.0,244.0,243.7,243.8,262.011
84,1672549200000,243.8,243.9,243.5,243.9,1025.352
85,1672549500000,243.9,244.0,243.8,243.9,456.531
86,1672549800000,244.0,244.0,243.8,243.8,349.374
87,1672550100000,243.8,244.0,243.8,243.8,503.283
88,1672550400000,243.8,244.2,243.8,244.2,1331.682
89,1672550700000,244.2,244.3,244.1,244.2,454.122
90,1672551000000,244.2,244.3,244.0,244.0,558.946
91,1672551300000,244.0,244.2,244.0,244.0,351.046
92,1672551600000,244.1,244.1,243.8,244.0,835.586
93,1672551900000,244.0,244.0,243.9,243.9,1057.361
94,1672552200000,244.0,244.0,243.8,243.9,2379.802
95,1672552500000,243.9,244.1,243.8,244.1,909.461
96,1672552800000,244.1,244.3,244.0,244.3,426.257
97,1672553100000,244.2,244.3,243.9,244.2,720.909
98,1672553400000,244.2,244.2,244.1,244.2,328.02
99,1672553700000,244.2,244.4,244.1,244.4,602.992
100,1672554000000,244.4,244.4,244.2,244.4,406.809
101,1672554300000,244.3,244.4,244.2,244.4,395.61
102,1672554600000,244.4,244.4,244.1,244.2,366.349
103,1672554900000,244.2,244.2,243.9,243.9,491.223
104,1672555200000,244.0,244.2,243.9,244.1,400.505
105,1672555500000,244.1,244.2,244.0,244.2,478.872
106,1672555800000,244.1,244.2,244.0,244.1,459.354
107,1672556100000,244.0,244.1,243.9,244.0,247.065
108,1672556400000,243.9,244.1,243.9,243.9,411.739
109,1672556700000,243.9,244.0,243.8,244.0,459.977
110,1672557000000,244.0,244.1,243.8,244.0,533.725
111,1672557300000,243.9,244.0,243.8,243.9,887.486
112,1672557600000,244.0,244.0,243.8,243.8,360.746
113,1672557900000,243.8,244.1,243.8,244.0,455.254
114,1672558200000,244.0,244.1,243.9,243.9,171.421
115,1672558500000,244.0,244.3,243.9,244.2,1662.147
116,1672558800000,244.2,244.2,244.1,244.2,157.668
117,1672559100000,244.1,244.2,244.0,244.1,269.034
118,1672559400000,244.0,244.1,244.0,244.1,67.837
119,1672559700000,244.1,244.2,244.0,244.0,468.311
120,1672560000000,244.1,244.1,243.9,244.1,602.964
121,1672560300000,244.1,244.1,243.9,244.0,380.103
122,1672560600000,244.0,244.0,243.9,243.9,217.892
123,1672560900000,243.9,244.1,243.8,244.1,1140.655
124,1672561200000,244.0,244.1,243.7,243.9,831.838
125,1672561500000,243.9,244.1,243.9,244.1,166.102
126,1672561800000,244.0,244.1,243.9,244.0,263.374
127,1672562100000,243.9,244.0,243.9,244.0,147.539
128,1672562400000,243.9,244.0,243.7,243.8,343.099
129,1672562700000,243.8,243.9,243.7,243.9,204.986
130,1672563000000,243.9,243.9,243.4,243.8,940.048
131,1672563300000,243.7,243.8,243.5,243.5,265.755
132,1672563600000,243.6,243.7,243.4,243.6,698.916
133,1672563900000,243.6,243.6,243.5,243.5,131.875
134,1672564200000,243.6,243.6,243.5,243.6,175.338
135,1672564500000,243.6,243.7,243.5,243.6,336.091
136,1672564800000,243.7,244.0,243.6,243.9,556.063
137,1672565100000,244.0,244.0,243.8,243.8,389.05
138,1672565400000,243.9,244.2,243.8,244.1,198.749
139,1672565700000,244.1,244.3,244.1,244.2,287.668
140,1672566000000,244.2,244.3,244.1,244.3,180.419
141,1672566300000,244.3,244.3,244.1,244.2,155.643
142,1672566600000,244.2,244.5,244.1,244.4,602.745
143,1672566900000,244.5,244.5,244.4,244.5,89.805
144,1672567200000,244.5,244.5,244.2,244.4,411.245
145,1672567500000,244.3,244.4,244.2,244.3,177.275
146,1672567800000,244.3,244.4,244.2,244.4,119.759
147,1672568100000,244.3,244.4,244.2,244.2,353.232
148,1672568400000,244.2,244.3,244.2,244.3,85.389
149,1672568700000,244.3,244.3,244.2,244.2,138.009
150,1672569000000,244.3,244.3,244.2,244.3,204.271
151,1672569300000,244.2,244.3,244.1,244.1,112.663
152,1672569600000,244.1,244.2,244.0,244.0,199.543
153,1672569900000,244.0,244.1,244.0,244.1,74.716
154,1672570200000,244.1,244.1,244.0,244.1,106.986
155,1672570500000,244.2,244.4,244.1,244.4,187.228
156,1672570800000,244.3,244.4,244.3,244.4,181.45
157,1672571100000,244.4,244.4,244.3,244.3,205.044
158,1672571400000,244.4,244.6,244.3,244.5,253.861
159,1672571700000,244.6,244.6,244.3,244.3,292.775
160,1672572000000,244.4,244.4,244.3,244.3,64.074
161,1672572300000,244.4,244.4,244.2,244.2,193.272
162,1672572600000,244.3,244.4,244.2,244.3,437.8
163,1672572900000,244.4,244.4,244.3,244.3,109.44
164,1672573200000,244.4,244.4,244.3,244.4,133.67
165,1672573500000,244.3,244.4,244.3,244.3,127.815
166,1672573800000,244.4,244.4,244.3,244.4,263.074
167,1672574100000,244.4,244.4,244.3,244.4,391.957
168,1672574400000,244.4,244.4,244.3,244.3,130.159
169,1672574700000,244.3,244.4,244.2,244.3,205.485
170,1672575000000,244.3,244.5,244.2,244.4,203.278
171,1672575300000,244.5,244.5,244.4,244.4,198.022
172,1672575600000,244.5,244.5,244.4,244.4,241.453
173,1672575900000,244.5,244.7,244.4,244.6,351.587
174,1672576200000,244.7,244.7,244.5,244.6,249.625
175,1672576500000,244.5,244.6,244.5,244.5,137.288
176,1672576800000,244.5,244.6,244.5,244.6,127.858
177,1672577100000,244.6,244.6,244.5,244.5,218.048
178,1672577400000,244.6,244.7,244.5,244.6,131.425
179,1672577700000,244.7,244.7,244.2,244.3,1449.828
180,1672578000000,244.3,244.5,244.3,244.4,398.005
181,1672578300000,244.5,244.6,244.4,244.6,131.628
182,1672578600000,244.6,244.6,244.5,244.6,183.381
183,1672578900000,244.5,244.6,244.4,244.4,194.148
184,1672579200000,244.5,244.5,244.2,244.2,378.596
185,1672579500000,244.2,244.3,244.2,244.3,115.378
186,1672579800000,244.3,244.4,244.1,244.2,797.625
187,1672580100000,244.1,244.2,244.0,244.2,443.187
188,1672580400000,244.2,244.2,244.0,244.0,412.214
189,1672580700000,244.0,244.1,244.0,244.0,285.143
190,1672581000000,244.1,244.2,244.0,244.1,539.415
191,1672581300000,244.1,244.3,244.1,244.2,226.651
192,1672581600000,244.3,244.3,244.2,244.3,120.697
193,1672581900000,244.2,244.3,244.1,244.2,257.072
194,1672582200000,244.2,244.3,244.1,244.2,172.069
195,1672582500000,244.2,244.3,244.2,244.3,116.874
196,1672582800000,244.2,244.3,244.2,244.2,101.586
197,1672583100000,244.2,244.4,244.2,244.4,410.076
198,1672583400000,244.4,244.5,244.3,244.5,238.529
199,1672583700000,244.5,244.5,244.3,244.4,275.28
200,1672584000000,244.4,244.4,244.2,244.3,129.766
201,1672584300000,244.2,244.3,244.2,244.2,204.191
202,1672584600000,244.3,244.3,244.2,244.2,184.794
203,1672584900000,244.3,244.3,244.1,244.1,393.585
204,1672585200000,244.1,244.3,244.1,244.3,455.626
205,1672585500000,244.2,244.3,244.2,244.3,240.561
206,1672585800000,244.2,244.3,244.2,244.2,173.107
207,1672586100000,244.2,244.3,244.2,244.2,161.857
208,1672586400000,244.3,244.3,244.1,244.2,279.609
209,1672586700000,244.2,244.3,244.1,244.2,271.549
210,1672587000000,244.3,244.4,244.2,244.3,105.794
211,1672587300000,244.3,244.4,244.3,244.4,304.864
212,1672587600000,244.4,244.4,244.3,244.4,172.54
213,1672587900000,244.4,244.4,244.2,244.3,399.294
214,1672588200000,244.2,244.3,244.2,244.2,166.261
215,1672588500000,244.2,244.8,244.2,244.6,1187.941
216,1672588800000,244.6,244.8,244.4,244.5,660.533
217,1672589100000,244.5,244.6,244.4,244.6,314.533
218,1672589400000,244.6,244.6,244.5,244.6,89.4
219,1672589700000,244.5,244.9,244.5,244.8,241.959
220,1672590000000,244.9,244.9,244.7,244.8,536.93
221,1672590300000,244.8,244.8,244.7,244.8,164.628
222,1672590600000,244.8,245.0,244.7,245.0,531.832
223,1672590900000,244.9,245.0,244.8,244.8,355.815
224,1672591200000,244.8,244.9,244.6,244.7,454.096
225,1672591500000,244.7,244.9,244.6,244.9,263.791
226,1672591800000,244.8,244.9,244.7,244.8,246.332
227,1672592100000,244.8,245.0,244.7,244.9,446.814
228,1672592400000,245.0,245.0,244.8,244.8,258.914
229,1672592700000,244.9,245.2,244.8,245.1,428.782
230,1672593000000,245.1,245.2,245.0,245.1,167.223
231,1672593300000,245.1,245.2,245.0,245.1,370.069
232,1672593600000,245.2,245.5,245.1,245.4,479.979
233,1672593900000,245.4,245.5,245.1,245.1,556.677
234,1672594200000,245.2,245.3,245.1,245.1,422.209
235,1672594500000,245.2,245.2,245.0,245.1,260.885
236,1672594800000,245.1,245.2,245.0,245.1,383.033
237,1672595100000,245.1,245.3,245.0,245.2,325.76
238,1672595400000,245.2,245.3,245.2,245.2,156.636
239,1672595700000,245.3,245.5,245.2,245.4,271.195
240,1672596000000,245.4,245.6,245.4,245.6,268.297
241,1672596300000,245.6,245.7,245.4,245.6,383.973
242,1672596600000,245.7,245.7,245.4,245.5,431.311
243,1672596900000,245.4,245.5,245.4,245.4,188.023
244,1672597200000,245.5,245.5,245.3,245.4,108.903
245,1672597500000,245.3,245.4,245.3,245.4,151.186
246,1672597800000,245.3,245.5,245.2,245.5,400.721
247,1672598100000,245.4,245.5,245.3,245.4,253.872
248,1672598400000,245.3,245.4,245.3,245.4,161.079
249,1672598700000,245.3,245.4,244.8,245.0,677.6
250,1672599000000,244.9,245.0,244.9,245.0,201.161
251,1672599300000,245.0,245.0,244.7,244.8,584.02
252,1672599600000,244.9,245.1,244.8,245.0,193.113
253,1672599900000,245.0,245.1,245.0,245.1,100.987
254,1672600200000,245.1,245.2,245.0,245.2,172.593
255,1672600500000,245.2,245.6,245.1,245.6,291.866
256,1672600800000,245.6,245.6,245.4,245.4,397.288
257,1672601100000,245.5,245.6,245.4,245.6,183.51
258,1672601400000,245.6,245.7,245.3,245.3,617.137
259,1672601700000,245.4,245.5,245.3,245.5,278.091
260,1672602000000,245.5,245.5,245.4,245.4,197.171
261,1672602300000,245.4,245.4,245.2,245.2,82.529
262,1672602600000,245.3,245.4,245.2,245.2,282.649
263,1672602900000,245.2,245.3,245.1,245.3,294.677
264,1672603200000,245.3,245.4,245.2,245.3,123.271
265,1672603500000,245.3,245.4,245.2,245.3,197.684
266,1672603800000,245.3,245.4,245.2,245.4,151.985
267,1672604100000,245.3,245.5,245.3,245.4,150.97
268,1672604400000,245.5,245.7,245.4,245.6,645.015
269,1672604700000,245.6,245.8,245.6,245.8,501.899
270,1672605000000,245.7,245.8,245.7,245.8,79.545
271,1672605300000,245.8,245.9,245.7,245.7,352.59
272,1672605600000,245.8,245.8,245.4,245.5,382.254
273,1672605900000,245.5,245.5,245.4,245.5,150.248
274,1672606200000,245.4,245.5,245.4,245.4,212.059
275,1672606500000,245.4,245.5,245.2,245.3,325.878
276,1672606800000,245.3,245.3,245.2,245.2,100.216
277,1672607100000,245.3,245.3,245.0,245.1,226.995
278,1672607400000,245.1,245.3,245.0,245.2,176.374
279,1672607700000,245.2,245.4,245.2,245.4,85.669
280,1672608000000,245.4,245.4,245.2,245.2,182.94
281,1672608300000,245.3,245.4,245.2,245.3,314.813
282,1672608600000,245.3,245.4,245.2,245.3,157.694
