,time,open,high,low,close,volume
0,1672446600000,16593.03,16603.04,16591.89,16597.57,338.16668
1,1672446900000,16598.06,16601.83,16593.7,16595.34,387.21156
2,1672447200000,16595.34,16596.39,16586.33,16594.21,410.65669
3,1672447500000,16594.21,16594.58,16586.58,16588.42,297.95935
4,1672447800000,16588.05,16590.41,16586.16,16588.64,237.45996
5,1672448100000,16588.18,16588.66,16578.0,16580.32,439.70912
6,1672448400000,16580.32,16583.69,16579.64,16581.92,247.03256
7,1672448700000,16581.48,16583.14,16570.01,16572.85,442.03123
8,1672449000000,16572.85,16573.59,16565.96,16569.01,391.04747
9,1672449300000,16569.0,16579.55,16567.03,16575.02,446.2211
10,1672449600000,16575.58,16575.58,16563.67,16567.35,343.29006
11,1672449900000,16567.36,16571.07,16565.27,16566.76,273.13147
12,1672450200000,16566.76,16576.08,16566.37,16574.65,300.52929
13,1672450500000,16574.65,16575.68,16566.74,16569.65,327.38597
14,1672450800000,16569.18,16575.31,16567.87,16570.94,288.18194
15,1672451100000,16570.47,16574.72,16568.99,16572.18,255.14768
16,1672451400000,16571.78,16575.52,16569.2,16572.91,339.47957
17,1672451700000,16572.91,16573.25,16562.36,16568.24,354.29755
18,1672452000000,16568.23,16571.53,16561.39,16564.46,378.26985
19,1672452300000,16564.46,16568.61,16560.65,16568.1,385.26393
20,1672452600000,16567.64,16572.72,16566.66,16567.76,239.67757
21,1672452900000,16568.09,16569.73,16560.47,16567.07,404.89171
22,1672453200000,16567.07,16569.65,16562.23,16565.02,267.06196
23,1672453500000,16565.02,16569.52,16563.79,16568.52,195.80718
24,1672453800000,16568.14,16575.13,16565.61,16570.01,423.45112
25,1672454100000,16569.59,16573.29,16568.21,16571.96,269.29871
26,1672454400000,16571.96,16573.72,16569.82,16573.03,234.18267
27,1672454700000,16573.43,16576.69,16569.93,16575.83,285.83339
28,1672455000000,16575.83,16578.59,16575.24,16578.31,229.19663
29,1672455300000,16578.31,16579.79,16573.86,16575.94,256.42643
30,1672455600000,16576.18,16577.38,16571.39,16574.0,216.8466
31,1672455900000,16574.0,16574.91,16570.66,16574.44,313.03338
32,1672456200000,16574.72,16576.36,16569.61,16570.76,280.97497
33,1672456500000,16570.76,16574.11,16568.86,16570.23,294.96237
34,1672456800000,16570.22,16570.54,16561.49,16565.77,432.66203
35,1672457100000,16565.77,16567.08,16562.49,16565.41,268.68645
