,time,open,high,low,close,volume
0,1672303200000,1192.28,1192.66,1190.19,1191.26,1834.4104
1,1672303500000,1191.25,1192.09,1190.4,1191.92,1044.6673
2,1672303800000,1191.92,1192.52,1191.92,1192.23,267.5697
3,1672304100000,1192.24,1192.37,1191.5,1192.09,428.6704
4,1672304400000,1192.08,1192.62,1191.88,1192.54,590.1743
5,1672304700000,1192.54,1193.09,1192.54,1193.07,273.6531
6,1672305000000,1193.08,1194.29,1192.71,1194.28,749.9673
7,1672305300000,1194.29,1194.96,1193.84,1194.83,1029.462
8,1672305600000,1194.84,1202.99,1194.62,1199.26,8144.3911
9,1672305900000,1199.26,1201.5,1197.93,1197.97,2329.9233
10,1672306200000,1197.96,1199.0,1197.12,1197.62,1123.3906
11,1672306500000,1197.62,1199.44,1197.62,1197.96,964.7601
12,1672306800000,1197.97,1198.09,1197.27,1197.96,796.9901
13,1672307100000,1197.97,1199.95,1197.96,1199.95,1019.6947
14,1672307400000,1199.94,1200.39,1199.22,1199.35,950.4477
15,1672307700000,1199.35,1199.36,1198.84,1199.2,403.9713
16,1672308000000,1199.21,1199.87,1198.83,1198.87,509.0202
17,1672308300000,1198.87,1199.78,1198.87,1199.73,419.0065
18,1672308600000,1199.72,1199.78,1199.08,1199.09,355.9721
19,1672308900000,1199.08,1199.09,1198.25,1198.52,604.1551
20,1672309200000,1198.52,1198.73,1198.08,1198.09,399.4844
21,1672309500000,1198.09,1198.23,1197.49,1197.5,551.1613
22,1672309800000,1197.49,1197.99,1197.17,1197.7,489.2229
23,1672310100000,1197.7,1198.55,1197.68,1198.2,554.877
24,1672310400000,1198.21,1199.22,1198.2,1198.78,578.8737
25,1672310700000,1198.78,1200.0,1198.68,1199.98,670.5612
26,1672311000000,1199.98,1200.65,1198.84,1198.85,670.7141
27,1672311300000,1198.85,1199.73,1198.84,1199.59,420.1551
28,1672311600000,1199.58,1200.5,1199.37,1200.17,1347.5503
29,1672311900000,1200.17,1200.45,1200.12,1200.44,347.8347
30,1672312200000,1200.44,1202.61,1200.44,1201.57,1747.7311
31,1672312500000,1201.57,1201.73,1200.66,1200.74,632.0699
32,1672312800000,1200.73,1201.12,1199.77,1200.28,715.8729
33,1672313100000,1200.27,1200.28,1199.94,1199.95,226.2772
34,1672313400000,1199.94,1200.32,1199.33,1199.41,480.7719
35,1672313700000,1199.42,1200.11,1199.0,1199.0,419.1422
36,1672314000000,1199.0,1199.71,1198.92,1199.71,417.5984
37,1672314300000,1199.7,1199.71,1198.78,1199.45,601.6109
38,1672314600000,1199.44,1199.56,1199.25,1199.41,176.9803
39,1672314900000,1199.41,1199.42,1198.84,1198.84,572.4192
40,1672315200000,1198.84,1200.85,1198.84,1200.76,1193.8262
41,1672315500000,1200.77,1201.37,1200.0,1200.05,546.8835
42,1672315800000,1200.05,1200.06,1199.61,1199.68,253.3565
43,1672316100000,1199.69,1199.69,1198.73,1198.82,1140.4512
44,1672316400000,1198.83,1199.44,1198.52,1198.52,460.5353
