,time,open,high,low,close,volume
0,1672434900000,8.05e-06,8.05e-06,8.03e-06,8.05e-06,10711494678.0
1,1672435200000,8.04e-06,8.06e-06,8.04e-06,8.06e-06,3620868795.0
2,1672435500000,8.06e-06,8.06e-06,8.05e-06,8.05e-06,1666027051.0
3,1672435800000,8.06e-06,8.06e-06,8.04e-06,8.06e-06,6602559412.0
4,1672436100000,8.06e-06,8.06e-06,8.05e-06,8.06e-06,891121902.0
5,1672436400000,8.06e-06,8.07e-06,8.05e-06,8.07e-06,6455478861.0
6,1672436700000,8.06e-06,8.07e-06,8.06e-06,8.07e-06,1207808296.0
7,1672437000000,8.07e-06,8.07e-06,8.05e-06,8.06e-06,4105476662.0
8,1672437300000,8.05e-06,8.06e-06,8.03e-06,8.04e-06,3355414826.0
9,1672437600000,8.04e-06,8.05e-06,8.03e-06,8.03e-06,5105092356.0
10,1672437900000,8.03e-06,8.04e-06,8.03e-06,8.03e-06,711703542.0
11,1672438200000,8.03e-06,8.04e-06,8.02e-06,8.02e-06,5952200192.0
12,1672438500000,8.03e-06,8.03e-06,8.01e-06,8.02e-06,1199577530.0
13,1672438800000,8.02e-06,8.02e-06,8.01e-06,8.02e-06,901786541.0
14,1672439100000,8.01e-06,8.03e-06,8.01e-06,8.03e-06,2047678473.0
15,1672439400000,8.03e-06,8.03e-06,8.02e-06,8.02e-06,424154544.0
16,1672439700000,8.02e-06,8.03e-06,8.02e-06,8.03e-06,390730094.0
17,1672440000000,8.03e-06,8.04e-06,8.02e-06,8.03e-06,5788363528.0
18,1672440300000,8.03e-06,8.03e-06,8.01e-06,8.02e-06,4483259246.0
19,1672440600000,8.03e-06,8.03e-06,8.02e-06,8.02e-06,440048670.0
20,1672440900000,8.02e-06,8.03e-06,8.02e-06,8.03e-06,1200449841.0
21,1672441200000,8.03e-06,8.04e-06,8.02e-06,8.04e-06,4120103006.0
22,1672441500000,8.04e-06,8.04e-06,8.03e-06,8.04e-06,329293795.0
23,1672441800000,8.04e-06,8.04e-06,8.01e-06,8.01e-06,35081623122.0
24,1672442100000,8.02e-06,8.03e-06,8.01e-06,8.02e-06,2633205017.0
25,1672442400000,8.03e-06,8.03e-06,8.02e-06,8.02e-06,4276303964.0
26,1672442700000,8.02e-06,8.03e-06,8.02e-06,8.03e-06,3270450658.0
27,1672443000000,8.03e-06,8.03e-06,8.01e-06,8.02e-06,8619605312.0
28,1672443300000,8.03e-06,8.04e-06,8.03e-06,8.04e-06,1061789145.0
29,1672443600000,8.04e-06,8.06e-06,8.03e-06,8.05e-06,2096494915.0
30,1672443900000,8.06e-06,8.07e-06,8.05e-06,8.06e-06,7234079881.0
31,1672444200000,8.05e-06,8.06e-06,8.05e-06,8.06e-06,778093243.0
32,1672444500000,8.05e-06,8.06e-06,8.05e-06,8.05e-06,597121111.0
33,1672444800000,8.06e-06,8.08e-06,8.05e-06,8.07e-06,12584846120.0
34,1672445100000,8.07e-06,8.08e-06,8.05e-06,8.07e-06,3512707280.0
35,1672445400000,8.07e-06,8.08e-06,8.06e-06,8.07e-06,1282646032.0
